states	PB2	PA	HA	NP	NA	MP	NS
30520000	2	6	4	5	2	2	6
30540000	2	5	5	5	2	2	4
30560000	2	5	3	5	2	2	3
30580000	3	5	3	5	2	2	4
30600000	2	6	3	5	2	2	3
30620000	2	5	3	5	2	2	5
30640000	2	5	3	5	2	4	5
30660000	2	5	3	5	2	2	4
30680000	3	5	3	6	2	2	4
30700000	2	5	4	7	2	2	4
30720000	2	5	4	5	2	2	4
30740000	2	4	3	7	2	2	5
30760000	3	5	4	5	2	2	5
30780000	3	4	3	5	2	2	4
30800000	2	5	3	6	2	2	5
30820000	2	5	3	5	2	2	4
30840000	2	5	4	5	3	2	4
30860000	3	4	4	5	2	2	4
30880000	2	4	3	5	2	2	4
30900000	3	5	4	5	2	2	6
30920000	2	5	4	5	2	3	3
30940000	2	6	3	5	2	2	4
30960000	2	5	3	5	2	2	6
30980000	2	7	3	6	2	2	4
31000000	2	5	3	5	2	2	4
31020000	2	6	3	5	2	2	4
31040000	2	6	3	5	2	3	4
31060000	2	4	3	5	2	2	4
31080000	3	4	3	5	2	2	6
31100000	3	5	4	8	2	2	4
31120000	2	6	4	6	2	2	4
31140000	2	5	3	5	2	2	5
31160000	2	5	3	5	2	2	5
31180000	2	5	4	5	2	2	5
31200000	2	5	3	8	2	2	4
31220000	2	5	4	7	2	2	3
31240000	2	5	4	6	2	2	6
31260000	3	6	4	5	2	2	5
31280000	2	4	3	5	2	2	5
31300000	2	4	4	5	2	2	4
31320000	3	5	4	5	2	2	3
31340000	2	6	3	5	2	2	3
31360000	2	5	4	6	2	2	4
31380000	2	5	4	5	2	2	4
31400000	2	6	3	6	2	2	4
31420000	3	5	3	5	2	2	6
31440000	3	5	3	8	2	2	4
31460000	3	5	4	5	2	2	5
31480000	2	5	3	7	2	2	5
31500000	2	5	3	6	2	2	4
31520000	2	5	3	5	2	2	3
31540000	2	5	3	5	2	2	6
31560000	2	5	3	5	2	2	6
31580000	2	5	3	7	2	2	4
31600000	2	9	3	7	2	2	4
31620000	2	5	3	6	2	2	4
