states	PB1	PB2	PA	HA	NP	NA	NS
31360000	4	5	5	5	4	2	9
31380000	4	4	3	5	4	2	9
31400000	7	5	5	5	3	2	8
31420000	4	4	2	4	4	3	10
31440000	4	5	2	4	4	2	10
31460000	5	4	4	6	3	2	9
31480000	4	5	4	5	3	2	9
31500000	4	4	4	5	3	3	8
31520000	4	5	4	5	3	2	9
31540000	4	3	4	5	3	3	11
31560000	5	6	4	5	4	2	10
31580000	4	3	4	6	4	2	9
31600000	4	4	3	5	3	3	8
31620000	4	4	3	5	4	2	8
31640000	4	3	3	5	3	2	8
31660000	4	4	5	5	4	3	8
31680000	5	4	3	5	3	4	9
31700000	4	4	3	5	3	3	9
31720000	4	4	4	5	3	3	9
31740000	4	4	5	5	3	3	8
31760000	5	3	5	5	3	2	9
31780000	5	4	3	5	5	2	8
31800000	4	3	5	5	3	2	9
31820000	4	4	3	5	3	2	9
31840000	4	4	4	5	3	2	10
31860000	5	4	3	5	3	2	9
31880000	4	3	3	5	3	2	9
31900000	4	4	3	5	4	2	9
31920000	4	4	4	5	3	2	8
31940000	4	4	4	5	3	2	9
31960000	7	4	5	5	3	2	8
31980000	4	4	6	5	3	3	10
32000000	5	4	3	5	3	2	8
32020000	4	4	3	5	3	2	10
32040000	4	4	3	5	3	2	12
32060000	4	3	3	6	3	3	11
32080000	4	4	5	5	3	2	9
32100000	4	4	2	4	4	2	10
32120000	5	4	3	5	4	2	8
32140000	4	4	3	5	3	2	9
32160000	4	3	4	6	3	3	9
32180000	4	4	3	5	4	2	8
32200000	5	4	2	5	5	2	8
32220000	9	4	2	5	5	3	9
32240000	4	4	3	5	3	2	9
32260000	4	4	2	5	4	2	9
32280000	4	4	3	5	4	3	9
32300000	4	4	7	4	5	4	11
32320000	5	4	6	5	4	2	10
32340000	4	4	3	6	4	2	9
32360000	5	5	2	5	3	3	11
32380000	4	4	2	4	3	3	10
32400000	4	4	2	4	4	4	8
32420000	4	4	3	5	4	3	15
32440000	4	5	3	5	3	2	9
32460000	4	4	3	5	4	3	10
32480000	4	4	4	5	3	2	11
32500000	4	6	4	4	3	4	9
32520000	4	4	4	5	4	2	10
32540000	6	3	3	5	4	2	9
32560000	5	3	3	5	4	2	12
32580000	6	3	2	5	3	2	9
32600000	4	4	2	5	3	3	10
32620000	4	4	5	6	3	3	11
32640000	5	3	3	5	3	2	11
32660000	5	4	6	5	3	2	8
32680000	4	4	2	5	3	2	9
32700000	4	4	2	5	3	3	10
32720000	4	5	2	6	3	3	11
32740000	4	4	4	5	4	3	8
32760000	4	4	3	4	4	2	8
32780000	4	4	2	5	3	4	8
32800000	4	4	2	5	3	3	12
32820000	4	5	3	6	4	3	9
32840000	4	4	4	4	4	2	9
32860000	4	4	3	6	3	2	11
32880000	4	4	4	5	3	2	11
32900000	4	4	2	5	4	2	10
32920000	4	3	2	6	4	2	9
32940000	5	4	3	6	5	2	8
32960000	5	3	4	5	4	2	8
32980000	4	4	5	5	3	3	10
33000000	4	3	4	5	3	2	10
33020000	4	3	6	5	3	2	8
33040000	4	3	5	5	3	3	9
33060000	4	4	5	5	3	3	8
33080000	4	4	3	5	4	3	8
33100000	4	3	3	5	4	2	8
33120000	7	3	3	5	4	2	7
33140000	5	4	4	5	4	2	9
33160000	5	4	3	5	3	3	8
33180000	4	4	3	5	4	3	8
